voter_identification_verified,voter_identification_id,voter_identification_name,id_requirement_NAME,id_requirement_PHOTO,id_requirement_ADX,id_requirement_ADS,id_requirement_VALID,id_requirement_DATE1YR,id_requirement_COPY,null,null,null,null,null,null,null,null,
"No",1,"State-issued driver's license","X","X",,"X","X",,,,,,,,,,,
"No",3,"Non-driver ID card issued by a state motor vehicles agency","X","X",,"X","X",,,,,,,,,,,
"No",7,"Student photo ID issued by public college, university, or postgraduate technical or professional school located within the state","X","X","X",,"X",,,,,,,,,,,
"No",11,"Tuition statement or bill from a public college, university, or postgraduate technical or professional school located within the state","X",,"X",,,"X","X",,,,,,,,,
"No",13,"Certified school record from a public college, university, or postgraduate technical or professional school located within the state","X",,"X",,,"X","X",,,,,,,,,
"No",20,"Insurance plan card or drug discount card issued by a governmental agency","X",,"X",,"X",,"X",,,,,,,,,
"No",22,"U.S. military photo ID issued by a U.S. uniformed service","X","X",,,"X",,,,,,,,,,,
"No",23,"U.S. military ID issued by a U.S. uniformed service (without a photo)","X",,"X",,,"X","X",,,,,,,,,
"No",24,"Military discharge papers","X",,"X",,,"X","X",,,,,,,,,
"No",25,"Staff photo ID issued by a public college, university or postgraduate technical or professional school located within the state","X","X","X",,"X",,,,,,,,,,,
"No",28,"Employee photo ID card issued by the state in which the voter is registered, the U.S. government or a local government entity within the state","X","X","X",,"X",,,,,,,,,,,
"No",30,"A permit or license to learn to drive a vehicle issued by a state motor vehicle agency","X",,"X",,"X",,"X",,,,,,,,,
"No",31,"Valid vehicle registration with the state","X",,"X",,"X",,"X",,,,,,,,,
"No",34,"FAA-issued pilot's license","X",,"X",,"X",,"X",,,,,,,,,
"No",40,"Bank or credit union statement","X",,"X",,,"X","X",,,,,,,,,
"No",41,"Bank or credit union bank book","X",,"X",,,"X","X",,,,,,,,,
"No",42,"Paycheck stub","X",,"X",,,"X","X",,,,,,,,,
"No",43,"Paycheck","X",,"X",,,"X","X",,,,,,,,,
"No",44,"A check issued by a unit of government (federal, state or local)","X",,"X",,,"X","X",,,,,,,,,
"No",49,"Public housing ID card issued by a governmental agency","X",,"X",,"X",,"X",,,,,,,,,
"No",50,"Public assistance ID","X",,"X",,"X",,"X",,,,,,,,,
"No",64,"Certificate of Degree of Indian or Alaskan Native Blood","X",,"X",,,"X","X",,,,,,,,,
"No",65,"Indian census card","X",,"X",,,"X","X",,,,,,,,,
"No",66,"Photo identification card issued by a federally recognized Indian tribe in the state","X",,"X",,"X",,"X",,,,,,,,,
"No",69,"Government-issued property tax bill/statement/receipt","X",,"X",,,"X","X",,,,,,,,,
"No",73,"Lease or rental statement or agreement issued by a governmental agency","X",,"X",,,"X","X",,,,,,,,,
"No",75,"Retirement center photo ID from a government-run facility","X",,"X",,,"X","X",,,,,,,,,
"No",76,"Retirement center ID from a government-run facility (without a photo)","X",,"X",,,"X","X",,,,,,,,,
"No",78,"Change of address verification letter from the United States Postal Service","X",,"X",,,"X","X",,,,,,,,,
"No",79,"Electric utility bill","X",,"X",,,"X","X",,,,,,,,,
"No",80,"Gas utility bill","X",,"X",,,"X","X",,,,,,,,,
"No",81,"Water utility bill","X",,"X",,,"X","X",,,,,,,,,
"No",82,"Solid waste utility bill","X",,"X",,,"X","X",,,,,,,,,
"No",83,"Sewer utility bill","X",,"X",,,"X","X",,,,,,,,,
"No",84,"Land line telephone bill","X",,"X",,,"X","X",,,,,,,,,
"No",85,"Cellular phone bill","X",,"X",,,"X","X",,,,,,,,,
"No",86,"Septic utility bill","X",,"X",,,"X","X",,,,,,,,,
"No",87,"Oil utility bill","X",,"X",,,"X","X",,,,,,,,,
"No",88,"Internet service bill","X",,"X",,,"X","X",,,,,,,,,
"No",89,"Satellite TV service bill","X",,"X",,,"X","X",,,,,,,,,
"No",90,"Cable TV service bill","X",,"X",,,"X","X",,,,,,,,,
"No",91,"Certificate of marriage","X",,"X",,,"X","X",,,,,,,,,
"No",92,"Certificate of divorce","X",,"X",,,"X","X",,,,,,,,,
"No",93,"Certified court record of adoption","X",,"X",,,"X","X",,,,,,,,,
"No",94,"Certified court record of name change","X",,"X",,,"X","X",,,,,,,,,
"No",95,"Court order","X",,"X",,,"X","X",,,,,,,,,
"No",96,"Department of Correction document (e.g., discharge certificate, pardon)","X",,"X",,,"X","X",,,,,,,,,
"No",103,"Hunting license","X",,"X",,,"X","X",,,,,,,,,
"No",104,"Fishing license","X",,"X",,,"X","X",,,,,,,,,
"No",105,"Firearm permit","X",,"X",,,"X","X",,,,,,,,,
"No",106,"Concealed carry permit","X",,"X",,,"X","X",,,,,,,,,
"No",107,"U.S. military dependent card","X","X",,,"X",,,,,,,,,,,
"No",109,"Any other official identification card or license issued by a governmental body of the state or unit of the state government","X",,"X",,,"X","X",,,,,,,,,
"No",111,"Other government document or piece of mail from a federal, state or local government body","X",,"X",,,"X","X",,,,,,,,,
"No",112,"Public library card","X",,"X",,,"X","X",,,,,,,,,
"No",113,"Photo identification card issued by the U.S. federal government or any agency of the U.S. federal government","X",,"X",,,"X","X",,,,,,,,,
,,,,,,,,,,,,,,,,,,
